time,event
12:00 PM,Guest Speaker: Entrepreneurship
1:00 PM,Guest Speaker: Neel Bhatt
2:00 PM,Guest Speakers: Chris Thiele and Siddhartha Thakur
6:00 PM,Submissions End
9:00 PM,Closing Ceremony
