time,event
10:00 AM,Sign in
10:30 AM,Opening Ceremony
11:00 AM,Hacking Begins
12:30 PM,Lunch
2:00 PM,Workshop 1 (TBD)
3:00 PM,Activities 
4:00 PM,Workshop 2 (TBD)
6:00 PM,Dinner
7:00 PM,Judging
8:00 PM,Closing Ceremony
