title,description,image
"Opportunities","**Lighthouse Hacks** is a fun-filled day of learning, building, and networking. You'll get to get to work on a project with a team of four and pitch your ideas to a panel of judges. Additionally, you get an opportunity to attend workshops, meet new people, and build connections.","img/gears.png"
"Opportunities","**Lighthouse Hacks** is a fun-filled day of learning, building, and networking. You'll get to get to work on a project with a team of four and pitch your ideas to a panel of judges. Additionally, you get an opportunity to attend workshops, meet new people, and build connections.","img/connections.svg"
